country,name_location,source,refrigerant,output_capacity_MW,units,COP,source_temp_C,supply_temp_C,temp_range_C,cooling,est_year,reference
Austria,Wörgl,Waste heat,R-134a,1.5,1,4.00,27,78,51,Yes,2015,"[1]"
Austria,Wörgl,Waste heat,R-245fa,1.1,1,4.00,45,85,40,Yes,2015,"[1]"
Czech Republic,Děčín,Geothermal aquifer,,6.4,1,3.40,55,72,17,No,2002,"[2]"
Denmark,Høje Taastrup,District cooling,NH3,3.2,1,2.85,0,73,73,No,2016,"[3,4]"
Denmark,Verdo Randers,Waste heat,NH3,1.0,1,6.34,30,60,30,Yes,2016,"[5,6]"
Denmark,Løgumkloster,Heat storage (solar),NH3,1.3,1,4.50,17,85,68,Yes,2015,"[7,8]"
Denmark,Rye Kraftvarmeværk,Geothermal aquifer,NH3,2.0,1,4.00,9,75,66,No,2015,"[9,10]"
Denmark,Vejen,Flue gas,NH3,1.1,1,4.10,40,67,27,No,2013,"[11,12]"
Denmark,Bjerringbro,Waste heat,NH3,3.7,1,4.80,18,67,49,Yes,2012,"[13,14]"
Denmark,Brædstrup,Heat storage (solar),NH3,1.2,1,3.20,25,80,55,No,2012,"[15,16]"
Denmark,Marstal,Heat storage (solar),CO2,1.5,1,3.10,10-35,78,43-68,No,2012,"[15,17]"
Denmark,Skjern,Waste heat,NH3,3.9,3,4.60,38,72,34,No,2012,"[18,19]"
Denmark,Skjern,Waste heat,NH3,1.3,1,3.90,33,70,37,No,2015,"[20]"
Finland,Suomenoja (Espoo),Sewage water,,40.0,2,,,,,No,2015,"[21]"
Finland,Kakola (Turku),Sewage water,R-134a,21.0,2,3.30,10,78,68,Yes,2009,"[22,23]"
Finland,Katri Vala (Helsinki),Sewage water,R-134a,90.0,5,3.50,10,88,78,Yes,2006,"[22,24,25]"
Finland,Mäntsälä,Waste heat,R-134a,3.6,1,4.00,36,85,49,No,,"[26,27]"
France,Créteil,Geothermal aquifer,R-134a,4.0,2,4.00,55,88,33,No,2014,"[28,29]"
France,Paris (La Défence),Waste heat,R-134a,12.0,1,4.50,12,90,78,Yes,2014,"[30,29]"
France,Le Plessis-Robinson,Geothermal aquifer,R-134a,1.5,1,4.80,39,85,46,No,2013,"[31,29]"
France,Cherbourg (Divette),Sea water,R-134a,2.2,2,3.00,11,63,52,No,2013,"[29]"
France,Blagnac,Geothermal aquifer,R-134a,3.2,4,6.00,46,70,24,No,2012,"[29]"
Italy,Famagosta (Milano),Geothermal aquifer,R-134a,15.0,3,2.65,15,90,75,Yes,2011,"[32]"
Italy,Morbegno,Waste heat,,3.7,1,4.47,46,84,38,No,2010,"[22]"
Italy,Canevese (Milano),Geothermal aquifer,R-134a,15.0,3,2.65,15,90,75,Yes,2010,"[32]"
Italy,Riva del Garda,Waste heat & geothermal,,1.3,1,3.48,,,,Yes,2008,"[33,32]"
Italy,Bagno di Romagna,Geothermal aquifer,,1.6,1,,37,80,43,No,1987,"[32,34]"
Netherlands,Delft,Waste heat,,1.2,1,,15,70,55,No,,"[35,36]"
Norway,Horten,Sea water,NH3,2.4,2,3.00,5,68,63,Yes,2012,"[37]"
Norway,Drammen,Sea water,NH3,13.2,3,3.05,8,90,82,No,2010,"[38,39]"
Norway,Skøyen Vest (Oslo),Sewage water (raw),R-134a,18.4,1,2.80,10,90,80,No,2008,"[40]"
Norway,Skøyen Vest (Oslo),Sewage water (raw),R-134a,9.2,1,2.90,10,75,65,No,2005,"[40]"
Norway,Lillestrøm,Sewage water,R-134a,4.3,1,,,80,80,Yes,2003,"[41]"
Norway,Fornebu (Oslo),Sea water,R-134a,6.9,1,3.06,5,75,70,Yes,2006,"[40,42]"
Norway,Fornebu (Oslo),Sea water,R-134a,6.8,1,3.06,5,75,70,Yes,2001,"[40,42]"
