sector,crf_category,component,bucket,emissions_kt_co2_28countries,emissions_kt_co2_uk,variant_tags
electricity,1.A.1.a,combustion,old,725691.440510,0.000000,"A,B,C"
refining,1.A.1.b,combustion,old,97932.314790,0.000000,"A,B,C"
steel,1.A.2.a,combustion,old,69709.011620,0.000000,"A,B,C"
steel,2.C.1,process,old,60055.021730,0.000000,"A,B,C"
chemicals,1.A.2.c,combustion,old,51639.273230,0.000000,"A,B,C"
chemicals,2.B,process,old,45967.467020,0.000000,"A,B,C"
cement,1.A.2.f,combustion,old,79488.348400,0.000000,"A,B,C"
cement,2.A,process,old,100858.351340,0.000000,"A,B,C"
aviation,1.A.3.a,combustion,old,14188.453590,0.000000,"A,B,C"
aviation,1.D.1.a,combustion,old,113612.258060,0.000000,"A,B,C"
passenger_road,1.A.3.b.i,combustion,old,460039.470040,0.000000,"A,B,C"
truck,1.A.3.b.iii,combustion,old,213619.940060,0.000000,"A,B,C"
shipping,1.A.3.d,combustion,old,20298.032700,0.000000,"A,B,C"
shipping,1.D.1.b,combustion,old,123191.306520,0.000000,"A,B,C"
residential_heat,1.A.4.b,combustion,old,283023.126560,0.000000,"A,B,C"
commercial_heat,1.A.4.a,combustion,old,104366.342180,0.000000,"A,B,C"
paper,1.A.2.d,combustion,new,20269.401310,3035.700000,"A,B,C"
food,1.A.2.e,combustion,new,34168.375520,7099.600000,"A,B,C"
glass,2.A.3,process,new,3933.386450,340.246488,"B,C"
ceramic,2.A.4,process,new,10220.459870,335.211955,"B,C"
glass_ceramic_shared_combustion,1.A.2.f,combustion,new,79488.348400,0.000000,B
