Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y1961,Y1961F,Y1961N,Y1962,Y1962F,Y1962N,Y1963,Y1963F,Y1963N,Y1964,Y1964F,Y1964N,Y1965,Y1965F,Y1965N,Y1966,Y1966F,Y1966N,Y1967,Y1967F,Y1967N,Y1968,Y1968F,Y1968N,Y1969,Y1969F,Y1969N,Y1970,Y1970F,Y1970N,Y1971,Y1971F,Y1971N,Y1972,Y1972F,Y1972N,Y1973,Y1973F,Y1973N,Y1974,Y1974F,Y1974N,Y1975,Y1975F,Y1975N,Y1976,Y1976F,Y1976N,Y1977,Y1977F,Y1977N,Y1978,Y1978F,Y1978N,Y1979,Y1979F,Y1979N,Y1980,Y1980F,Y1980N,Y1981,Y1981F,Y1981N,Y1982,Y1982F,Y1982N,Y1983,Y1983F,Y1983N,Y1984,Y1984F,Y1984N,Y1985,Y1985F,Y1985N,Y1986,Y1986F,Y1986N,Y1987,Y1987F,Y1987N,Y1988,Y1988F,Y1988N,Y1989,Y1989F,Y1989N,Y1990,Y1990F,Y1990N,Y1991,Y1991F,Y1991N,Y1992,Y1992F,Y1992N,Y1993,Y1993F,Y1993N,Y1994,Y1994F,Y1994N,Y1995,Y1995F,Y1995N,Y1996,Y1996F,Y1996N,Y1997,Y1997F,Y1997N,Y1998,Y1998F,Y1998N,Y1999,Y1999F,Y1999N,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N,Y2021,Y2021F,Y2021N,Y2022,Y2022F,Y2022N,Y2023,Y2023F,Y2023N,Y2024,Y2024F,Y2024N
"3","'008","Albania","515","'01341","Apples","5312","Area harvested","ha",,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,"3600.000000","E",,"3000.000000","E",,"3000.000000","E",,"2800.000000","E",,"3500.000000","E",,"2600.000000","E",,"2000.000000","A",,"2033.000000","I",,"2076.000000","I",,"2005.000000","I",,"2140.000000","I",,"2100.000000","A",,"2242.000000","A",,"2300.000000","A",,"2300.000000","A",,"2300.000000","A",,"2173.000000","A",,"2250.000000","A",,"2400.000000","A",,"3000.000000","A",,"3000.000000","A",,"5500.000000","E",,"7000.000000","E",,"6500.000000","E",,"5000.000000","E",,"3913.000000","I",,"3450.000000","A",,"3719.000000","A",,"3838.000000","A",,"3863.000000","A",,"4008.000000","A",,"4230.000000","A",,"4346.000000","A",,"4294.000000","A",,"4407.000000","A",,"4420.000000","A",,"4242.000000","A",,"4294.000000","A",,"4365.000000","A",,"4322.000000","A",
"3","'008","Albania","515","'01341","Apples","5412","Yield","kg/ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5055.600000","E",,"5000.000000","E",,"5333.300000","E",,"5000.000000","E",,"5142.900000","E",,"5038.500000","E",,"5000.000000","E",,"4918.300000","E",,"4815.900000","E",,"4739.300000","E",,"4673.600000","E",,"4761.900000","A",,"5040.100000","A",,"5000.000000","A",,"5130.400000","A",,"5217.400000","A",,"7268.300000","A",,"7022.200000","A",,"5541.700000","A",,"5000.000000","A",,"5333.300000","A",,"5012.000000","E",,"5142.900000","E",,"6923.100000","E",,"9440.400000","E",,"13956.100000","E",,"18550.700000","A",,"19171.800000","A",,"19731.600000","A",,"21242.600000","A",,"22885.900000","A",,"24002.800000","A",,"22165.600000","A",,"25238.700000","A",,"24441.300000","A",,"23114.700000","A",,"26225.800000","A",,"24137.200000","A",,"22284.200000","A",,"23242.900000","A",
"3","'008","Albania","515","'01341","Apples","5510","Production","t","10004.000000","A",,"8039.000000","A",,"7931.000000","A",,"8498.000000","A",,"8000.000000","X","Unofficial figure","9000.000000","X","Unofficial figure","10000.000000","X","Unofficial figure","10000.000000","X","Unofficial figure","11000.000000","X","Unofficial figure","9000.000000","X","Unofficial figure","10000.000000","E",,"11000.000000","E",,"14000.000000","E",,"13000.000000","E",,"14000.000000","E",,"15000.000000","E",,"13000.000000","E",,"14000.000000","E",,"15000.000000","E",,"15000.000000","X","Unofficial figure","15000.000000","E",,"23000.000000","E",,"21000.000000","X","Unofficial figure","21000.000000","E",,"18200.000000","X","Unofficial figure","15000.000000","X","Unofficial figure","16000.000000","X","Unofficial figure","14000.000000","X","Unofficial figure","18000.000000","X","Unofficial figure","13100.000000","X","Unofficial figure","10000.000000","E",,"10000.000000","E",,"10000.000000","E",,"9500.000000","A",,"10000.000000","A",,"10000.000000","A",,"11300.000000","A",,"11500.000000","A",,"11800.000000","A",,"12000.000000","A",,"15794.000000","A",,"15800.000000","A",,"13300.000000","A",,"15000.000000","A",,"16000.000000","A",,"27566.000000","A",,"36000.000000","A",,"45000.000000","A",,"47202.000000","A",,"54604.000000","A",,"64000.000000","A",,"71300.000000","A",,"75730.000000","A",,"82060.000000","A",,"91736.020000","A",,"101532.000000","A",,"96337.770000","A",,"108375.000000","A",,"107713.000000","A",,"102167.000000","A",,"111247.200000","A",,"103645.000000","A",,"97273.870000","A",,"100455.030000","A",
"3","'008","Albania","526","'01343","Apricots","5312","Area harvested","ha",,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,,"M",,"530.000000","E",,"530.000000","E",,"530.000000","E",,"530.000000","E",,"530.000000","E",,"388.000000","E",,"400.000000","E",,"465.000000","I",,"511.000000","I",,"508.000000","I",,"331.000000","I",,"203.000000","I",,"260.000000","I",,"400.000000","A",,"400.000000","A",,"332.000000","I",,"583.000000","I",,"577.000000","I",,"502.000000","I",,"350.000000","E",,"400.000000","E",,"380.000000","E",,"200.000000","E",,"290.000000","E",,"300.000000","E",,"274.000000","I",,"300.000000","A",,"301.000000","A",,"315.000000","A",,"320.000000","A",,"331.000000","A",,"326.000000","A",,"326.000000","A",,"337.000000","A",,"341.000000","A",,"344.000000","A",,"345.000000","A",,"364.000000","A",,"354.000000","A",,"338.000000","A",
"3","'008","Albania","526","'01343","Apricots","5412","Yield","kg/ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1886.800000","E",,"3018.900000","E",,"2452.800000","E",,"2452.800000","E",,"3018.900000","E",,"4381.400000","E",,"3000.000000","E",,"2358.800000","E",,"2150.600000","E",,"1970.200000","E",,"1814.900000","E",,"1672.000000","E",,"1539.700000","E",,"1000.000000","A",,"1000.000000","A",,"2015.600000","E",,"2711.100000","E",,"3468.500000","E",,"4381.200000","E",,"5142.900000","E",,"5000.000000","E",,"5000.000000","E",,"10000.000000","E",,"12069.000000","E",,"12833.300000","E",,"12675.600000","E",,"13000.000000","A",,"14717.600000","A",,"13968.300000","A",,"12937.500000","A",,"15253.300000","A",,"15932.500000","A",,"15468.500000","A",,"15249.300000","A",,"14296.200000","A",,"14950.600000","A",,"14657.100000","A",,"15109.900000","A",,"15751.300000","A",,"17572.800000","A",
"3","'008","Albania","526","'01343","Apricots","5510","Production","t","900.000000","E",,"700.000000","E",,"600.000000","E",,"600.000000","E",,"600.000000","E",,"600.000000","E",,"500.000000","E",,"600.000000","E",,"700.000000","E",,"900.000000","E",,"900.000000","E",,"900.000000","E",,"900.000000","E",,"1000.000000","E",,"1000.000000","E",,"1200.000000","E",,"1200.000000","E",,"1500.000000","E",,"1500.000000","E",,"1100.000000","A",,"1200.000000","E",,"1100.000000","E",,"1100.000000","E",,"1000.000000","E",,"1000.000000","E",,"1600.000000","E",,"1300.000000","E",,"1300.000000","E",,"1600.000000","E",,"1700.000000","E",,"1200.000000","E",,"1096.400000","I",,"1100.000000","E",,"1000.000000","E",,"600.000000","E",,"340.000000","A",,"400.000000","A",,"400.000000","A",,"400.000000","A",,"670.000000","A",,"1581.000000","A",,"2000.000000","E",,"2200.000000","E",,"1800.000000","E",,"2000.000000","E",,"1900.000000","A",,"2000.000000","A",,"3500.000000","A",,"3850.000000","A",,"3471.000000","A",,"3900.000000","A",,"4430.000000","A",,"4400.000000","A",,"4140.000000","A",,"5045.020000","A",,"5194.000000","A",,"5039.630000","A",,"5139.000000","A",,"4875.000000","A",,"5143.000000","A",,"5056.700000","A",,"5500.000000","A",,"5578.330000","A",,"5938.730000","A",
"3","'008","Albania","1107","'02132","Asses","5111","Stocks","An","57100.000000","A",,"58400.000000","A",,"59500.000000","A",,"57900.000000","A",,"59700.000000","A",,"59500.000000","A",,"60000.000000","E",,"60000.000000","E",,"60000.000000","E",,"60000.000000","E",,"70000.000000","E",,"70000.000000","E",,"75000.000000","E",,"75000.000000","E",,"78000.000000","E",,"78000.000000","E",,"78000.000000","E",,"78000.000000","E",,"80000.000000","E",,"80000.000000","E",,"85000.000000","E",,"85000.000000","E",,"90000.000000","E",,"90000.000000","E",,"90000.000000","E",,"95000.000000","E",,"95000.000000","E",,"98000.000000","E",,"100000.000000","E",,"104400.000000","A",,"105600.000000","A",,"103600.000000","A",,"113700.000000","A",,"113000.000000","E",,"113000.000000","E",,"113000.000000","E",,"113000.000000","E",,"110000.000000","X","Unofficial figure","120000.000000","X","Unofficial figure","120000.000000","X","Unofficial figure","105000.000000","X","Unofficial figure","96000.000000","X","Unofficial figure","88000.000000","X","Unofficial figure","81000.000000","X","Unofficial figure","77500.000000","X","Unofficial figure","68000.000000","X","Unofficial figure","64000.000000","X","Unofficial figure","60000.000000","X","Unofficial figure","56000.000000","X","Unofficial figure","55000.000000","X","Unofficial figure","56000.000000","X","Unofficial figure","56000.000000","X","Unofficial figure","53000.000000","X","Unofficial figure","53500.000000","X","Unofficial figure","60000.000000","X","Unofficial figure","62000.000000","X","Unofficial figure","56000.000000","X","Unofficial figure","56000.000000","X","Unofficial figure","55000.000000","X","Unofficial figure","49000.000000","A",,"47000.000000","A",,"39000.000000","A",,"36455.000000","A",,"44924.000000","A",
"3","'008","Albania","44","'0115","Barley","5312","Area harvested","ha","8734.000000","A",,"8250.000000","A",,"8992.000000","A",,"8095.000000","A",,"7400.000000","E",,"8000.000000","E",,"10500.000000","E",,"9700.000000","E",,"9000.000000","E",,"9000.000000","E",,"9000.000000","E",,"8500.000000","E",,"8900.000000","E",,"10000.000000","X","Unofficial figure","10200.000000","E",,"10500.000000","E",,"11000.000000","E",,"11000.000000","E",,"12000.000000","E",,"12000.000000","E",,"12000.000000","E",,"12100.000000","X","Unofficial figure","13000.000000","X","Unofficial figure","13000.000000","X","Unofficial figure","13000.000000","X","Unofficial figure","13000.000000","X","Unofficial figure","13000.000000","X","Unofficial figure","13000.000000","X","Unofficial figure","13200.000000","X","Unofficial figure","5000.000000","A",,"3600.000000","A",,"4035.000000","A",,"3117.000000","A",,"3826.000000","A",,"3229.000000","A",,"2388.000000","A",,"2565.000000","A",,"1700.000000","A",,"1600.000000","A",,"1200.000000","A",,"1200.000000","A",,"800.000000","A",,"1550.000000","A",,"1500.000000","A",,"1502.000000","A",,"2175.000000","A",,"1400.000000","A",,"1400.000000","A",,"1700.000000","A",,"2500.000000","A",,"2840.000000","A",,"2500.000000","A",,"2500.000000","A",,"2703.000000","A",,"2500.000000","A",,"3104.000000","A",,"3065.000000","A",,"3397.000000","A",,"2742.000000","A",,"3771.000000","A",,"5071.000000","A",,"5597.000000","A",,"6260.000000","A",,"7500.000000","A",
"3","'008","Albania","44","'0115","Barley","5412","Yield","kg/ha","1022.400000","A",,"840.500000","A",,"877.000000","A",,"1025.800000","A",,"986.500000","E",,"1200.000000","E",,"990.500000","E",,"814.400000","E",,"833.300000","E",,"1077.800000","E",,"833.300000","E",,"905.900000","E",,"1011.200000","E",,"1000.000000","X",,"980.400000","E",,"1428.600000","E",,"1636.400000","E",,"1818.200000","E",,"1916.700000","E",,"2083.300000","E",,"2083.300000","E",,"2099.200000","X",,"2307.700000","X",,"2307.700000","X",,"2307.700000","X",,"2769.200000","E",,"2923.100000","E",,"3076.900000","X",,"3030.300000","X",,"1000.000000","A",,"923.100000","A",,"1380.200000","A",,"1332.400000","A",,"2352.300000","A",,"2252.700000","A",,"1337.900000","A",,"1457.300000","A",,"1910.600000","A",,"1812.500000","A",,"1500.000000","A",,"2500.000000","A",,"4750.000000","A",,"1871.000000","A",,"2466.700000","A",,"2729.700000","A",,"2758.600000","A",,"2500.000000","A",,"2571.400000","A",,"2647.100000","A",,"2920.000000","A",,"3063.400000","A",,"2800.000000","A",,"2788.000000","A",,"2700.700000","A",,"2800.000000","A",,"2899.500000","A",,"2947.800000","A",,"2842.200000","A",,"2896.400000","A",,"3353.200000","A",,"3019.100000","A",,"3397.200000","A",,"3383.200000","A",,"3172.200000","A",
"3","'008","Albania","44","'0115","Barley","5510","Production","t","8930.000000","A",,"6934.000000","A",,"7886.000000","A",,"8304.000000","A",,"7300.000000","E",,"9600.000000","E",,"10400.000000","E",,"7900.000000","E",,"7500.000000","E",,"9700.000000","E",,"7500.000000","E",,"7700.000000","E",,"9000.000000","E",,"10000.000000","X","Unofficial figure","10000.000000","E",,"15000.000000","E",,"18000.000000","E",,"20000.000000","E",,"23000.000000","X","Unofficial figure","25000.000000","X","Unofficial figure","25000.000000","X","Unofficial figure","25400.000000","X","Unofficial figure","30000.000000","X","Unofficial figure","30000.000000","X","Unofficial figure","30000.000000","X","Unofficial figure","36000.000000","E",,"38000.000000","E",,"40000.000000","X","Unofficial figure","40000.000000","X","Unofficial figure","5000.000000","A",,"3323.000000","A",,"5569.000000","A",,"4153.000000","A",,"9000.000000","A",,"7274.000000","A",,"3195.000000","A",,"3738.000000","A",,"3248.000000","A",,"2900.000000","A",,"1800.000000","A",,"3000.000000","A",,"3800.000000","A",,"2900.000000","A",,"3700.000000","A",,"4100.000000","A",,"6000.000000","A",,"3500.000000","A",,"3600.000000","A",,"4500.000000","A",,"7300.000000","A",,"8700.000000","A",,"7000.000000","A",,"6970.000000","A",,"7300.000000","A",,"7000.000000","A",,"9000.000000","A",,"9035.000000","A",,"9655.000000","A",,"7942.000000","A",,"12645.000000","A",,"15310.000000","A",,"19014.000000","A",,"21178.800000","A",,"23791.800000","A",
