country,consumption_per_capita_kg_1995,consumption_per_capita_kg_2008,consumption_1000t_1995,consumption_1000t_2008,population_millions_1995,population_millions_2008
Austria,186,249,1499,2077,8.0,8.3
Belgium,185,186,1889,1994,10.2,10.7
Bulgaria,16,38,134,291,8.4,7.6
Cyprus,,115,,92,0.7,0.8
Czech Republic,64,132,660,1365,10.3,10.4
Denmark,216,191,1133,1049,5.2,5.5
Estonia,24,94,34,126,1.4,1.3
Finland,209,193,1068,1025,5.1,5.3
France,171,174,9926,11093,58.1,63.8
Germany,201,244,16450,20059,81.8,82.1
Greece,73,102,765,1138,10.5,11.2
Hungary,53,79,541,797,10.2,10.0
Ireland,72,85,263,375,3.6,4.4
Italy,147,172,8379,10274,57.0,59.6
Latvia,20,40,50,91,2.5,2.3
Lithuania,16,38,57,129,3.6,3.4
Luxembourg,216,237,90,116,0.4,0.5
Malta,,57,,23,0.4,0.4
Netherlands,211,226,3266,3714,15.5,16.4
Poland,46,103,1768,3928,38.6,38.1
Portugal,80,100,800,1060,10.0,10.6
Romania,18,38,407,814,22.7,21.5
Slovakia,44,91,235,493,5.4,5.4
Slovenia,79,120,158,243,2.0,2.0
Spain,130,163,5140,7442,39.4,45.6
Sweden,222,218,1958,2005,8.8,9.2
United Kingdom,191,187,11169,11443,58.5,61.2
Switzerland,183,186,1298,1397,7.1,7.6
Norway,156,176,680,831,4.4,4.8
Turkey,22,48,1392,3475,62.3,72.5
