node,year_construction,capacity_existing
BE,2001,0.02685328
BG,2001,0.00846716
CZ,2001,0.0201018
DK,2001,0.00445684
DE,2001,0.0868828
EE,2001,0.00048696
IE,2001,0.0061994
EL,2001,0.005027
ES,2001,0.07674884
FR,2001,0.0550733599999999
HR,2001,0.00136732
IT,2001,0.01644108
LV,2001,0.01584808
LT,2001,0.00455912
LU,2001,0.00037272
HU,2001,0.00926232
NL,2001,0.00332536
AT,2001,0.04864288
PL,2001,0.07654064
PT,2001,0.04423908
RO,2001,0.00992828
SI,2001,0.0030719999999999
SK,2001,0.0171537199999999
FI,2001,0.17483308
SE,2001,0.17913952
NO,2001,0.0118995199999999
UK,2001,0.0405804
CH,2001,0.0126698
BE,2002,0.02685328
BG,2002,0.00846716
CZ,2002,0.0201018
DK,2002,0.00445684
DE,2002,0.0868828
EE,2002,0.00048696
IE,2002,0.0061994
EL,2002,0.005027
ES,2002,0.07674884
FR,2002,0.0550733599999999
HR,2002,0.00136732
IT,2002,0.01644108
LV,2002,0.01584808
LT,2002,0.00455912
LU,2002,0.00037272
HU,2002,0.00926232
NL,2002,0.00332536
AT,2002,0.04864288
PL,2002,0.07654064
PT,2002,0.04423908
RO,2002,0.00992828
SI,2002,0.0030719999999999
SK,2002,0.0171537199999999
FI,2002,0.17483308
SE,2002,0.17913952
NO,2002,0.0118995199999999
UK,2002,0.0405804
CH,2002,0.0126698
BE,2003,0.02685328
BG,2003,0.00846716
CZ,2003,0.0201018
DK,2003,0.00445684
DE,2003,0.0868828
EE,2003,0.00048696
IE,2003,0.0061994
EL,2003,0.005027
ES,2003,0.07674884
FR,2003,0.0550733599999999
HR,2003,0.00136732
IT,2003,0.01644108
LV,2003,0.01584808
LT,2003,0.00455912
LU,2003,0.00037272
HU,2003,0.00926232
NL,2003,0.00332536
AT,2003,0.04864288
PL,2003,0.07654064
PT,2003,0.04423908
RO,2003,0.00992828
SI,2003,0.0030719999999999
SK,2003,0.0171537199999999
FI,2003,0.17483308
SE,2003,0.17913952
NO,2003,0.0118995199999999
UK,2003,0.0405804
CH,2003,0.0126698
BE,2004,0.02685328
BG,2004,0.00846716
CZ,2004,0.0201018
DK,2004,0.00445684
DE,2004,0.0868828
EE,2004,0.00048696
IE,2004,0.0061994
EL,2004,0.005027
ES,2004,0.07674884
