node,demand
AT,192.00913242009133
BE,382.9908675799087
BG,108.78995433789954
CH,155.36529680365297
CZ,222.71689497716895
DE,2623.1735159817354
DK,820.662100456621
EE,22.71689497716895
EL,126.82648401826484
ES,1841.2100456621004
FI,150.79908675799086
FR,1406.392694063927
HR,32.077625570776256
HU,225.2283105022831
IE,509.3607305936073
IT,468.9497716894977
LT,109.70319634703196
LU,11.643835616438356
LV,59.36073059360731
NO,68.2648401826484
PL,401.4840182648402
PT,107.99086757990868
RO,241.55251141552512
SE,235.0456621004566
SI,17.69406392694064
SK,59.24657534246575
UK,1499.3150684931506
