node,year_construction,capacity_existing
AT,2022,1288.3211316891163
BE,2022,2085.350664358836
BG,2022,788.1906678865419
CH,2022,0.0
CZ,2022,1233.9786796110516
DE,2022,6845.671096667714
DK,2022,902.9119597928108
EE,2022,177.73408595273224
EL,2022,181.95739418457623
ES,2022,6437.245195203295
FI,2022,699.1888726566332
FR,2022,7877.55631390956
HR,2022,693.0343921636205
HU,2022,836.9558620747423
IE,2022,421.4287912721237
IT,2022,6840.530928919652
LT,2022,225.4159384302604
LU,2022,48.14742074823358
LV,2022,246.85822273300064
NL,2022,377.253947368421
NO,2022,0.0
PL,2022,2138.833780656675
PT,2022,1837.4631586818664
RO,2022,634.0879024995631
SE,2022,565.8944999999999
SI,2022,330.0829464574174
SK,2022,381.75603997018374
UK,2022,0.0
