node,year_construction,capacity_existing
AT,2022,0.41286609864256896
BE,2022,0.01589834888658886
BG,2022,0.05663848719526269
CH,2022,0.0
CZ,2022,0.09852776394159196
DE,2022,0.2805693857700794
DK,2022,0.6756777096731618
EE,2022,0.1578421962623589
EL,2022,0.0
ES,2022,0.0
FI,2022,0.9078763493412092
FR,2022,0.5136449907849133
HR,2022,0.03640415465479122
HU,2022,0.036783738319888494
IE,2022,0.0
IT,2022,0.09586754731924117
LT,2022,0.22549100401407238
LU,2022,0.03985989465560933
LV,2022,0.16729093798347403
NL,2022,0.1209429436898023
NO,2022,0.08436798559444281
PL,2022,0.22627595577566606
PT,2022,0.0
RO,2022,0.026010008338975776
SE,2022,0.9553438668113294
SI,2022,0.016860034507972615
SK,2022,0.055866280309760576
UK,2022,0.04302522828906919
