node,year_construction,capacity_existing
AT,2022,0.2424149102421109
BE,2022,0.103507105993785
BG,2022,0.2083025495198788
CH,2022,0.0
CZ,2022,0.2979400625244609
DE,2022,2.05785340721048
DK,2022,0.10690567822670105
EE,2022,0.035489102019337915
EL,2022,0.0030695628882630656
ES,2022,0.0
FI,2022,0.12749992459460244
FR,2022,0.6331179272057492
HR,2022,0.09945117809979902
HU,2022,0.30005096025330413
IE,2022,0.0
IT,2022,0.6305394103960316
LT,2022,0.04416095882239711
LU,2022,0.009870575018805002
LV,2022,0.0833993381765813
NL,2022,0.48293013408343943
NO,2022,0.0042932551675640305
PL,2022,0.4066700997773568
PT,2022,0.09863156469542451
RO,2022,0.36882710018068976
SE,2022,0.031217579443953154
SI,2022,0.03372283163359514
SK,2022,0.14432120878567234
UK,2022,0.6011985692089155
