node,demand
AT,1288.3211316891163
BE,2085.350664358836
BG,788.1906678865419
CH,1288.3211316891163
CZ,1233.9786796110516
DE,6845.671096667714
DK,902.9119597928108
EE,177.73408595273224
EL,181.95739418457626
ES,6437.245195203295
FI,699.1888726566332
FR,7877.55631390956
HR,693.0343921636205
HU,836.9558620747423
IE,421.42879127212365
IT,6840.530928919652
LT,225.41593843026038
LU,48.14742074823358
LV,246.85822273300062
NL,377.253947368421
NO,699.1888726566332
PL,2138.833780656675
PT,1837.4631586818662
RO,634.0879024995631
SE,565.8944999999999
SI,330.0829464574174
SK,381.75603997018374
UK,5730.687540803272
