node,year_construction,capacity_existing
AT,1993,7.0945586676366205e-06
AT,1994,7.0945586676366205e-06
AT,1995,7.0945586676366205e-06
AT,1996,7.0945586676366205e-06
AT,1997,7.0945586676366205e-06
AT,1998,7.0945586676366205e-06
AT,1999,7.0945586676366205e-06
AT,2000,7.0945586676366205e-06
AT,2001,7.0945586676366205e-06
AT,2002,7.0945586676366205e-06
AT,2003,7.0945586676366205e-06
AT,2004,7.0945586676366205e-06
AT,2005,7.0945586676366205e-06
AT,2006,7.0945586676366205e-06
AT,2007,7.0945586676366205e-06
AT,2008,7.0945586676366205e-06
AT,2009,7.0945586676366205e-06
AT,2010,7.0945586676366205e-06
AT,2011,7.0945586676366205e-06
AT,2012,7.0945586676366205e-06
AT,2013,7.0945586676366205e-06
AT,2014,7.0945586676366205e-06
AT,2015,7.0945586676366205e-06
AT,2016,7.0945586676366205e-06
AT,2017,7.0945586676366205e-06
AT,2018,7.0945586676366205e-06
AT,2019,7.0945586676366205e-06
AT,2020,7.0945586676366205e-06
AT,2021,7.0945586676366205e-06
AT,2022,7.0945586676366205e-06
BE,1993,0.0
BE,1994,0.0
BE,1995,0.0
BE,1996,0.0
BE,1997,0.0
BE,1998,0.0
BE,1999,0.0
BE,2000,0.0
BE,2001,0.0
BE,2002,0.0
BE,2003,0.0
BE,2004,0.0
BE,2005,0.0
BE,2006,0.0
BE,2007,0.0
BE,2008,0.0
BE,2009,0.0
BE,2010,0.0
BE,2011,0.0
BE,2012,0.0
BE,2013,0.0
BE,2014,0.0
BE,2015,0.0
BE,2016,0.0
BE,2017,0.0
BE,2018,0.0
BE,2019,0.0
BE,2020,0.0
BE,2021,0.0
BE,2022,0.0
BG,1993,0.0
BG,1994,0.0
BG,1995,0.0
BG,1996,0.0
BG,1997,0.0
BG,1998,0.0
BG,1999,0.0
BG,2000,0.0
BG,2001,0.0
BG,2002,0.0
BG,2003,0.0
BG,2004,0.0
BG,2005,0.0
BG,2006,0.0
BG,2007,0.0
BG,2008,0.0
BG,2009,0.0
BG,2010,0.0
BG,2011,0.0
BG,2012,0.0
BG,2013,0.0
BG,2014,0.0
BG,2015,0.0
BG,2016,0.0
BG,2017,0.0
BG,2018,0.0
BG,2019,0.0
BG,2020,0.0
BG,2021,0.0
BG,2022,0.0
CH,1993,0.0
CH,1994,0.0
CH,1995,0.0
CH,1996,0.0
CH,1997,0.0
CH,1998,0.0
CH,1999,0.0
CH,2000,0.0
CH,2001,0.0
CH,2002,0.0
CH,2003,0.0
CH,2004,0.0
CH,2005,0.0
CH,2006,0.0
CH,2007,0.0
CH,2008,0.0
CH,2009,0.0
CH,2010,0.0
CH,2011,0.0
CH,2012,0.0
CH,2013,0.0
CH,2014,0.0
CH,2015,0.0
CH,2016,0.0
CH,2017,0.0
CH,2018,0.0
CH,2019,0.0
CH,2020,0.0
CH,2021,0.0
CH,2022,0.0
CZ,1993,4.824594301924775e-05
CZ,1994,4.824594301924775e-05
CZ,1995,4.824594301924775e-05
CZ,1996,4.824594301924775e-05
CZ,1997,4.824594301924775e-05
CZ,1998,4.824594301924775e-05
CZ,1999,4.824594301924775e-05
CZ,2000,4.824594301924775e-05
CZ,2001,4.824594301924775e-05
CZ,2002,4.824594301924775e-05
CZ,2003,4.824594301924775e-05
CZ,2004,4.824594301924775e-05
CZ,2005,4.824594301924775e-05
CZ,2006,4.824594301924775e-05
CZ,2007,4.824594301924775e-05
CZ,2008,4.824594301924775e-05
CZ,2009,4.824594301924775e-05
CZ,2010,4.824594301924775e-05
CZ,2011,4.824594301924775e-05
CZ,2012,4.824594301924775e-05
CZ,2013,4.824594301924775e-05
CZ,2014,4.824594301924775e-05
CZ,2015,4.824594301924775e-05
CZ,2016,4.824594301924775e-05
CZ,2017,4.824594301924775e-05
CZ,2018,4.824594301924775e-05
CZ,2019,4.824594301924775e-05
CZ,2020,4.824594301924775e-05
CZ,2021,4.824594301924775e-05
CZ,2022,4.824594301924775e-05
DE,1993,0.0
DE,1994,0.0
DE,1995,0.0
DE,1996,0.0
DE,1997,0.0
DE,1998,0.0
DE,1999,0.0
DE,2000,0.0
DE,2001,0.0
DE,2002,0.0
DE,2003,0.0
DE,2004,0.0
DE,2005,0.0
DE,2006,0.0
DE,2007,0.0
DE,2008,0.0
DE,2009,0.0
DE,2010,0.0
DE,2011,0.0
DE,2012,0.0
DE,2013,0.0
DE,2014,0.0
DE,2015,0.0
DE,2016,0.0
DE,2017,0.0
DE,2018,0.0
DE,2019,0.0
DE,2020,0.0
DE,2021,0.0
DE,2022,0.0
DK,1993,0.0012189497142235399
DK,1994,0.0012189497142235399
DK,1995,0.0012189497142235399
DK,1996,0.0012189497142235399
DK,1997,0.0012189497142235399
DK,1998,0.0012189497142235399
DK,1999,0.0012189497142235399
DK,2000,0.0012189497142235399
DK,2001,0.0012189497142235399
DK,2002,0.0012189497142235399
DK,2003,0.0012189497142235399
DK,2004,0.0012189497142235399
DK,2005,0.0012189497142235399
DK,2006,0.0012189497142235399
DK,2007,0.0012189497142235399
DK,2008,0.0012189497142235399
DK,2009,0.0012189497142235399
DK,2010,0.0012189497142235399
DK,2011,0.0012189497142235399
DK,2012,0.0012189497142235399
DK,2013,0.0012189497142235399
DK,2014,0.0012189497142235399
DK,2015,0.0012189497142235399
DK,2016,0.0012189497142235399
DK,2017,0.0012189497142235399
DK,2018,0.0012189497142235399
DK,2019,0.0012189497142235399
DK,2020,0.0012189497142235399
DK,2021,0.0012189497142235399
DK,2022,0.0012189497142235399
EE,1993,0.0
EE,1994,0.0
EE,1995,0.0
EE,1996,0.0
EE,1997,0.0
EE,1998,0.0
EE,1999,0.0
EE,2000,0.0
EE,2001,0.0
EE,2002,0.0
EE,2003,0.0
EE,2004,0.0
EE,2005,0.0
EE,2006,0.0
EE,2007,0.0
EE,2008,0.0
EE,2009,0.0
EE,2010,0.0
EE,2011,0.0
EE,2012,0.0
EE,2013,0.0
EE,2014,0.0
EE,2015,0.0
EE,2016,0.0
EE,2017,0.0
EE,2018,0.0
EE,2019,0.0
EE,2020,0.0
EE,2021,0.0
EE,2022,0.0
EL,1993,0.0
EL,1994,0.0
EL,1995,0.0
EL,1996,0.0
EL,1997,0.0
EL,1998,0.0
EL,1999,0.0
EL,2000,0.0
EL,2001,0.0
EL,2002,0.0
EL,2003,0.0
EL,2004,0.0
EL,2005,0.0
EL,2006,0.0
EL,2007,0.0
EL,2008,0.0
EL,2009,0.0
EL,2010,0.0
EL,2011,0.0
EL,2012,0.0
EL,2013,0.0
EL,2014,0.0
EL,2015,0.0
EL,2016,0.0
EL,2017,0.0
EL,2018,0.0
