year,opex_specific_variable
2022,1.0
2023,1.0
2024,1.0
2025,1.0
2026,0.9966666666666667
2027,0.9933333333333333
2028,0.99
2029,0.9866666666666667
2030,0.9833333333333333
2031,0.9772222222222222
2032,0.971111111111111
2033,0.9650000000000001
2034,0.9588888888888889
2035,0.9527777777777778
2036,0.9527777777777778
2037,0.9527777777777778
2038,0.9527777777777778
2039,0.9527777777777778
2040,0.9527777777777778
2041,0.9516666666666667
2042,0.9505555555555556
2043,0.9494444444444444
2044,0.9483333333333334
2045,0.9472222222222222
2046,0.9461111111111111
2047,0.9450000000000001
2048,0.9438888888888889
2049,0.9427777777777778
2050,0.9416666666666667
