year,opex_specific_variable
2022,1.0
2023,1.0
2024,1.0
2025,1.0
2026,0.9905044510385758
2027,0.9810089020771513
2028,0.9715133531157271
2029,0.9620178041543026
2030,0.9525222551928783
2031,0.9480712166172106
2032,0.943620178041543
2033,0.9391691394658753
2034,0.9347181008902077
2035,0.93026706231454
2036,0.9255192878338279
2037,0.9207715133531157
2038,0.9160237388724034
2039,0.9112759643916913
2040,0.9065281899109792
2041,0.9016320474777447
2042,0.8967359050445103
2043,0.8918397626112758
2044,0.8869436201780415
2045,0.882047477744807
2046,0.8771513353115725
2047,0.8722551928783382
2048,0.8673590504451039
2049,0.8624629080118693
2050,0.8575667655786349
