node,year_construction,capacity_existing
AT,2022,127.24950183915765
BE,2022,242.388987937046
BG,2022,112.58955184910845
CH,2022,0.0
CZ,2022,214.27469920501
DE,2022,1060.9390645755404
DK,2022,37.901899185091835
EE,2022,12.11737673734429
EL,2022,36.93663364795799
ES,2022,680.6473496910774
FI,2022,52.51304346565107
FR,2022,475.8052650475207
HR,2022,17.1721748020364
HU,2022,68.5924660752019
IE,2022,24.782548003937936
IT,2022,848.1987508251202
LT,2022,12.474325299455606
LU,2022,42.66381712389995
LV,2022,20.670223472940236
NL,2022,252.29680575977076
NO,2022,0.0
PL,2022,527.7825137183593
PT,2022,253.0964055318204
RO,2022,70.74746644538565
SE,2022,62.043142838934926
SI,2022,13.605110475078051
SK,2022,34.19280426173888
UK,2022,0.0
