node,year_construction,capacity_existing
AT,2022,0.2424149102421108
BE,2022,0.1035071059937849
BG,2022,0.2083025495198787
CH,2022,0.0
CZ,2022,0.2979400625244608
DE,2022,2.0578534072104797
DK,2022,0.106905678226701
EE,2022,0.0354891020193379
EL,2022,0.003069562888263
ES,2022,0.0
FI,2022,0.1274999245946024
FR,2022,0.6331179272057491
HR,2022,0.099451178099799
HU,2022,0.3000509602533041
IE,2022,0.0
IT,2022,0.6305394103960315
LT,2022,0.044160958822397
LU,2022,0.009870575018805
LV,2022,0.0833993381765812
NL,2022,0.4829301340834394
NO,2022,0.004293255167564
PL,2022,0.4066700997773567
PT,2022,0.0986315646954244
RO,2022,0.3688271001806897
SE,2022,0.0312175794439531
SI,2022,0.0337228316335951
SK,2022,0.1443212087856723
UK,2022,0.6011985692089153
