node,year_construction,capacity_existing
AT,2022,1.401069625
BE,2022,0.053951374999999996
BG,2022,0.19220387500000002
CH,2022,0.0
CZ,2022,0.334356
DE,2022,0.952118
DK,2022,2.29292625
EE,2022,0.53564075
EL,2022,0.0
ES,2022,0.0
FI,2022,3.080897125
FR,2022,1.743064875
HR,2022,0.12353825
HU,2022,0.124826375
IE,2022,0.0
IT,2022,0.3253285
LT,2022,0.765208375
LU,2022,0.135265375
LV,2022,0.5677052499999999
NL,2022,0.410422375
NO,2022,0.2863045
PL,2022,0.767872125
PT,2022,0.0
RO,2022,0.0882655
SE,2022,3.241979125
SI,2022,0.057214875
SK,2022,0.189583375
UK,2022,0.146007
