node,year_construction,capacity_existing
AT,2022,528.4488843568431
BE,2022,909.8411219475097
BG,2022,272.5704886531283
CH,2022,334.98059271993264
CZ,2022,683.8051069894263
DE,2022,4789.192461883034
DK,2022,719.0475338485509
EE,2022,80.9376036474435
EL,2022,244.3159024682491
ES,2022,2235.800256378241
FI,2022,234.21739727642728
FR,2022,3524.1869525297807
HR,2022,131.48830929064297
HU,2022,467.42885170541894
IE,2022,712.4774789223928
IT,2022,1580.7043270463207
LT,2022,262.42169650991576
LU,2022,30.70856782126715
LV,2022,115.76822905616004
NL,2022,1635.1012324000158
NO,2022,162.24806998153608
PL,2022,2608.501620986084
PT,2022,331.50291639995174
RO,2022,757.085547891755
SE,2022,372.1190236031862
SI,2022,81.19893392852781
SK,2022,157.13172743168107
UK,2022,2264.269164326575
