node,year_construction,capacity_existing
AT,2022,0.82264
BE,2022,0.3512535
BG,2022,0.706879
CH,2022,0.0
CZ,2022,1.01106575
DE,2022,6.9833680000000005
DK,2022,0.36278662500000003
EE,2022,0.12043300000000001
EL,2022,0.010416625
ES,2022,0.0
FI,2022,0.432673625
FR,2022,2.1484987500000003
HR,2022,0.337489625
HU,2022,1.018229125
IE,2022,0.0
IT,2022,2.1397485
LT,2022,0.14986112499999998
LU,2022,0.033496000000000005
LV,2022,0.283017375
NL,2022,1.638833375
NO,2022,0.01456925
PL,2022,1.380043375
PT,2022,0.33470825000000004
RO,2022,1.251622375
SE,2022,0.1059375
SI,2022,0.114439125
SK,2022,0.489757
UK,2022,2.04017975
