year,capex_specific_conversion
2022,878.4072134940384
2023,878.4072134940384
2024,878.4072134940384
2025,878.4072134940384
2026,868.5096674265
2027,858.6121213589615
2028,848.7145752914231
2029,838.8170292238847
2030,828.9194831563462
2031,824.5893067517982
2032,820.2591303472501
2033,815.9289539427019
2034,811.5987775381539
2035,807.2686011336058
2036,802.9384247290577
2037,798.6082483245096
2038,794.2780719199616
2039,789.9478955154135
2040,785.6177191108654
2041,781.2875427063174
2042,776.9573663017693
2043,772.6271898972212
2044,768.2970134926732
2045,763.966837088125
2046,759.6366606835769
2047,755.3064842790288
2048,750.9763078744808
2049,746.6461314699327
2050,742.3159550653846
