node,year_construction,capacity_existing
AT,2022,0.0
BE,2022,0.12269395774277925
BG,2022,0.08171567842614107
CH,2022,0.0
CZ,2022,0.11917798618647735
DE,2022,0.30302696102081983
DK,2022,0.18178872050451544
EE,2022,0.0
EL,2022,0.041314455393728605
ES,2022,0.5083455887689932
FI,2022,0.0
FR,2022,0.7646465964467726
HR,2022,0.02897470733517188
HU,2022,0.09778328034601647
IE,2022,0.2151739740101226
IT,2022,0.025612856825157015
LT,2022,0.07185451039538635
LU,2022,0.0
LV,2022,0.03452072406235109
NL,2022,0.26492804868489495
NO,2022,0.0
PL,2022,0.5518246146487809
PT,2022,0.0
RO,2022,0.18687177056266946
SE,2022,0.0
SI,2022,0.0
SK,2022,0.0
UK,2022,0.0
